Provider,Region,Date,Hour of Day,No of calls to user,No of calls from user,Distinct users for the hour,Distinct hourly users with outgoing calls,Distinct users for the day,Distinct daily users with outgoing calls,Distinct users for the week,Distinct weekly users with outgoing calls
Ola Cabs,Andhra Pradesh,20180919,2,291,808,524,328,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,3,407,1056,688,423,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180920,3,322,998,623,394,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,5,144,1458,622,514,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,6,108,1316,573,480,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,7,106,1290,525,443,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,8,90,1170,493,421,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,9,129,1232,519,424,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,10,168,1065,570,441,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,11,224,1609,612,444,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,12,312,1116,676,438,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,13,290,1119,619,408,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,14,286,1012,576,376,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,15,234,797,451,289,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,16,163,626,363,241,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,17,111,454,246,161,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,18,72,327,162,119,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,19,69,162,91,60,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,20,20,122,63,52,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,21,17,86,47,36,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,22,36,91,67,37,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,23,60,147,106,73,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,4,252,1213,662,467,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,0,91,303,195,124,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,1,133,497,285,193,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180920,2,197,730,464,313,4851,2409,24372,7255
Ola Cabs,Andhra Pradesh,20180921,3,276,705,546,363,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,5,140,1038,572,465,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,6,120,1146,601,503,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,7,128,1006,558,458,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,8,143,1076,594,477,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,9,160,1027,583,462,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,10,164,951,595,464,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,11,238,976,654,475,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,12,350,986,713,461,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,13,402,912,689,412,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,14,292,776,571,352,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,15,245,620,466,295,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,16,168,499,349,244,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,17,115,349,245,165,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,18,44,190,132,97,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,19,41,122,86,58,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,20,17,57,50,35,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,21,21,48,45,31,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,22,53,73,80,49,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,23,84,164,130,80,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,4,268,899,657,454,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,0,74,254,177,131,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,1,120,284,223,145,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180921,2,186,570,416,277,4921,2364,24372,7255
Ola Cabs,Andhra Pradesh,20180922,3,226,646,515,359,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,5,160,957,623,487,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,6,174,1024,621,503,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,7,126,1069,577,474,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,8,130,959,578,463,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,9,138,937,537,428,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,10,191,848,590,438,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,11,306,1063,720,496,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,12,358,987,740,478,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,13,304,889,623,399,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,14,260,757,542,355,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,15,168,615,430,306,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,16,170,459,332,222,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,17,178,342,290,179,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,18,76,267,154,109,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,19,56,121,92,59,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,20,31,95,67,48,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,21,48,54,67,35,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,22,37,75,70,46,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,23,57,129,106,63,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,4,234,821,616,438,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,0,102,183,162,99,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,1,129,283,248,156,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180922,2,186,431,374,244,4874,2345,24372,7255
Ola Cabs,Andhra Pradesh,20180923,3,175,594,398,264,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,5,151,724,443,329,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,6,134,652,404,302,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,7,98,607,352,273,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,8,110,544,344,258,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,9,154,571,389,272,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,10,229,560,445,280,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,11,280,648,504,305,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,12,323,665,522,299,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,13,282,705,528,331,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,14,217,633,437,277,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,15,185,548,372,244,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,16,147,413,299,191,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,17,115,333,232,150,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,18,64,175,140,100,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,19,34,148,96,75,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,20,31,80,55,37,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,21,45,54,62,34,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,22,55,70,70,42,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,23,69,141,121,73,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,4,199,549,418,274,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,0,104,177,175,112,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,1,100,259,216,137,3971,1782,24372,7255
Ola Cabs,Andhra Pradesh,20180923,2,121,367,268,186,3971,1782,24372,7255
Ola Cabs,Assam,20180917,12,8,0,8,0,120,12,535,80
Ola Cabs,Assam,20180917,13,7,2,8,2,120,12,535,80
Ola Cabs,Assam,20180917,14,11,1,8,1,120,12,535,80
Ola Cabs,Assam,20180917,2,8,0,5,0,120,12,535,80
Ola Cabs,Assam,20180917,15,7,1,7,1,120,12,535,80
Ola Cabs,Assam,20180917,7,9,0,6,0,120,12,535,80
Ola Cabs,Assam,20180917,16,4,0,4,0,120,12,535,80
Ola Cabs,Assam,20180917,17,5,0,4,0,120,12,535,80
Ola Cabs,Assam,20180917,18,3,1,3,1,120,12,535,80
Ola Cabs,Assam,20180917,19,1,0,1,0,120,12,535,80
Ola Cabs,Assam,20180917,20,1,0,1,0,120,12,535,80
Ola Cabs,Assam,20180917,0,3,0,3,0,120,12,535,80
Ola Cabs,Assam,20180917,8,7,2,8,1,120,12,535,80
Ola Cabs,Assam,20180917,21,4,0,2,0,120,12,535,80
Ola Cabs,Assam,20180917,4,5,0,5,0,120,12,535,80
Ola Cabs,Assam,20180917,23,1,0,1,0,120,12,535,80
Ola Cabs,Assam,20180917,3,14,0,11,0,120,12,535,80
Ola Cabs,Assam,20180917,1,3,0,2,0,120,12,535,80
Ola Cabs,Assam,20180917,6,7,2,8,2,120,12,535,80
Ola Cabs,Assam,20180917,5,16,2,10,1,120,12,535,80
Ola Cabs,Assam,20180917,10,8,1,5,1,120,12,535,80
Ola Cabs,Assam,20180917,9,5,1,4,1,120,12,535,80
Ola Cabs,Assam,20180917,11,30,2,16,1,120,12,535,80
Ola Cabs,Assam,20180918,3,14,2,11,1,126,18,535,80
Ola Cabs,Assam,20180918,5,8,0,6,0,126,18,535,80
Ola Cabs,Assam,20180918,6,6,0,6,0,126,18,535,80
Ola Cabs,Assam,20180918,7,9,0,7,0,126,18,535,80
Ola Cabs,Assam,20180918,8,4,0,4,0,126,18,535,80
Ola Cabs,Assam,20180918,9,6,2,6,2,126,18,535,80
Ola Cabs,Assam,20180918,10,15,3,8,2,126,18,535,80
Ola Cabs,Assam,20180918,11,12,2,11,2,126,18,535,80
Ola Cabs,Assam,20180918,12,18,3,15,3,126,18,535,80
Ola Cabs,Assam,20180918,13,8,1,6,1,126,18,535,80
Ola Cabs,Assam,20180918,14,15,4,12,2,126,18,535,80
Ola Cabs,Assam,20180918,15,7,1,8,1,126,18,535,80
Ola Cabs,Assam,20180918,16,4,0,4,0,126,18,535,80
Ola Cabs,Assam,20180918,17,5,0,5,0,126,18,535,80
Ola Cabs,Assam,20180918,18,1,1,1,1,126,18,535,80
Ola Cabs,Assam,20180918,19,3,0,2,0,126,18,535,80
Ola Cabs,Assam,20180918,20,4,0,3,0,126,18,535,80
Ola Cabs,Assam,20180918,21,4,1,3,1,126,18,535,80
Ola Cabs,Assam,20180918,22,3,0,2,0,126,18,535,80
Ola Cabs,Assam,20180918,23,3,0,2,0,126,18,535,80
Ola Cabs,Assam,20180918,4,6,1,5,1,126,18,535,80
Ola Cabs,Assam,20180918,0,5,0,1,0,126,18,535,80
Ola Cabs,Assam,20180918,1,2,0,1,0,126,18,535,80
Ola Cabs,Assam,20180918,2,15,1,11,1,126,18,535,80
Ola Cabs,Assam,20180919,4,12,1,11,1,103,14,535,80
Ola Cabs,Assam,20180919,5,5,1,5,1,103,14,535,80
Ola Cabs,Assam,20180919,6,9,11,9,6,103,14,535,80
Ola Cabs,Assam,20180919,7,11,1,10,1,103,14,535,80
Ola Cabs,Assam,20180919,8,10,5,6,2,103,14,535,80
Ola Cabs,Assam,20180919,9,4,1,5,1,103,14,535,80
Ola Cabs,Assam,20180919,10,3,0,2,0,103,14,535,80
Ola Cabs,Assam,20180919,11,12,1,7,1,103,14,535,80
Ola Cabs,Assam,20180919,12,2,1,2,1,103,14,535,80
Ola Cabs,Assam,20180919,13,8,0,7,0,103,14,535,80
Ola Cabs,Assam,20180919,14,13,2,9,1,103,14,535,80
Ola Cabs,Assam,20180919,15,11,0,7,0,103,14,535,80
Ola Cabs,Assam,20180919,16,1,0,1,0,103,14,535,80
Ola Cabs,Assam,20180919,17,2,3,3,2,103,14,535,80
Ola Cabs,Assam,20180919,19,1,0,1,0,103,14,535,80
Ola Cabs,Assam,20180919,21,8,0,3,0,103,14,535,80
Ola Cabs,Assam,20180919,22,3,2,2,1,103,14,535,80
Ola Cabs,Assam,20180919,3,11,0,8,0,103,14,535,80
Ola Cabs,Assam,20180919,0,5,0,2,0,103,14,535,80
Ola Cabs,Assam,20180919,1,4,0,4,0,103,14,535,80
Ola Cabs,Assam,20180919,2,8,0,8,0,103,14,535,80
Ola Cabs,Assam,20180919,23,1,0,1,0,103,14,535,80
Ola Cabs,Assam,20180920,2,7,1,5,1,63,8,535,80
Ola Cabs,Assam,20180920,1,1,0,1,0,63,8,535,80
Ola Cabs,Assam,20180920,3,10,1,7,1,63,8,535,80
Ola Cabs,Assam,20180920,4,5,1,4,1,63,8,535,80
Ola Cabs,Assam,20180920,5,2,1,2,1,63,8,535,80
Ola Cabs,Assam,20180920,6,8,0,7,0,63,8,535,80
Ola Cabs,Assam,20180920,7,8,0,8,0,63,8,535,80
Ola Cabs,Assam,20180920,8,7,0,7,0,63,8,535,80
Ola Cabs,Assam,20180920,9,4,2,4,1,63,8,535,80
Ola Cabs,Assam,20180920,10,6,1,4,1,63,8,535,80
Ola Cabs,Assam,20180920,11,4,0,3,0,63,8,535,80
Ola Cabs,Assam,20180920,12,4,0,2,0,63,8,535,80
Ola Cabs,Assam,20180920,13,5,1,4,1,63,8,535,80
Ola Cabs,Assam,20180920,14,9,2,7,2,63,8,535,80
Ola Cabs,Assam,20180920,15,4,0,3,0,63,8,535,80
Ola Cabs,Assam,20180920,17,0,1,1,1,63,8,535,80
Ola Cabs,Assam,20180920,18,1,0,1,0,63,8,535,80
Ola Cabs,Assam,20180920,23,3,0,1,0,63,8,535,80
Ola Cabs,Assam,20180921,2,5,2,4,2,69,12,535,80
Ola Cabs,Assam,20180921,3,2,2,3,1,69,12,535,80
Ola Cabs,Assam,20180921,1,8,1,4,1,69,12,535,80
Ola Cabs,Assam,20180921,4,9,1,5,1,69,12,535,80
Ola Cabs,Assam,20180921,5,7,1,7,1,69,12,535,80
Ola Cabs,Assam,20180921,6,8,1,7,1,69,12,535,80
Ola Cabs,Assam,20180921,0,3,2,3,1,69,12,535,80
Ola Cabs,Assam,20180921,7,2,2,3,1,69,12,535,80
Ola Cabs,Assam,20180921,8,10,1,9,1,69,12,535,80
Ola Cabs,Assam,20180921,9,4,0,2,0,69,12,535,80
Ola Cabs,Assam,20180921,10,1,1,2,1,69,12,535,80
Ola Cabs,Assam,20180921,11,3,0,2,0,69,12,535,80
Ola Cabs,Assam,20180921,12,5,0,3,0,69,12,535,80
Ola Cabs,Assam,20180921,13,10,1,9,1,69,12,535,80
Ola Cabs,Assam,20180921,14,5,0,3,0,69,12,535,80
Ola Cabs,Assam,20180921,15,5,0,3,0,69,12,535,80
Ola Cabs,Assam,20180921,16,9,0,4,0,69,12,535,80
Ola Cabs,Assam,20180921,17,1,0,1,0,69,12,535,80
Ola Cabs,Assam,20180921,18,1,0,1,0,69,12,535,80
Ola Cabs,Assam,20180921,19,1,0,1,0,69,12,535,80
Ola Cabs,Assam,20180921,20,1,0,1,0,69,12,535,80
Ola Cabs,Assam,20180921,23,3,0,2,0,69,12,535,80
Ola Cabs,Assam,20180922,0,1,0,1,0,73,10,535,80
Ola Cabs,Assam,20180922,1,1,1,1,1,73,10,535,80
Ola Cabs,Assam,20180922,2,3,0,3,0,73,10,535,80
Ola Cabs,Assam,20180922,3,3,0,3,0,73,10,535,80
Ola Cabs,Assam,20180922,4,3,1,4,1,73,10,535,80
Ola Cabs,Assam,20180922,5,7,0,6,0,73,10,535,80
Ola Cabs,Assam,20180922,6,4,0,2,0,73,10,535,80
Ola Cabs,Assam,20180922,7,5,2,2,1,73,10,535,80
Ola Cabs,Assam,20180922,8,4,0,3,0,73,10,535,80
Ola Cabs,Assam,20180922,9,3,2,3,1,73,10,535,80
Ola Cabs,Assam,20180922,10,6,0,5,0,73,10,535,80
Ola Cabs,Assam,20180922,11,7,2,6,2,73,10,535,80
Ola Cabs,Assam,20180922,12,6,1,6,1,73,10,535,80
Ola Cabs,Assam,20180922,13,14,0,10,0,73,10,535,80
Ola Cabs,Assam,20180922,14,3,1,3,1,73,10,535,80
Ola Cabs,Assam,20180922,15,10,1,4,1,73,10,535,80
Ola Cabs,Assam,20180922,16,3,0,3,0,73,10,535,80
Ola Cabs,Assam,20180922,17,7,1,5,1,73,10,535,80
Ola Cabs,Assam,20180922,18,1,0,1,0,73,10,535,80
Ola Cabs,Assam,20180922,20,3,0,2,0,73,10,535,80
Ola Cabs,Assam,20180922,21,4,0,3,0,73,10,535,80
Ola Cabs,Assam,20180922,22,5,0,4,0,73,10,535,80
Ola Cabs,Assam,20180922,23,1,0,1,0,73,10,535,80
Ola Cabs,Assam,20180923,16,2,0,2,0,62,9,535,80
Ola Cabs,Assam,20180923,2,7,1,3,1,62,9,535,80
Ola Cabs,Assam,20180923,3,3,1,3,1,62,9,535,80
Ola Cabs,Assam,20180923,4,6,1,4,1,62,9,535,80
Ola Cabs,Assam,20180923,5,5,1,3,1,62,9,535,80
Ola Cabs,Assam,20180923,6,8,2,8,2,62,9,535,80
Ola Cabs,Assam,20180923,7,8,0,4,0,62,9,535,80
Ola Cabs,Assam,20180923,8,6,0,6,0,62,9,535,80
Ola Cabs,Assam,20180923,9,1,0,1,0,62,9,535,80
Ola Cabs,Assam,20180923,10,3,0,3,0,62,9,535,80
Ola Cabs,Assam,20180923,11,10,2,3,1,62,9,535,80
Ola Cabs,Assam,20180923,12,18,1,7,1,62,9,535,80
Ola Cabs,Assam,20180923,13,12,0,9,0,62,9,535,80
Ola Cabs,Assam,20180923,14,7,0,5,0,62,9,535,80
Ola Cabs,Assam,20180923,15,3,0,3,0,62,9,535,80
Ola Cabs,Assam,20180923,17,10,1,4,1,62,9,535,80
Ola Cabs,Assam,20180923,20,2,0,2,0,62,9,535,80
Ola Cabs,Bihar,20180917,23,29,9,24,8,1077,185,4181,721
Ola Cabs,Bihar,20180917,0,41,6,32,2,1077,185,4181,721
Ola Cabs,Bihar,20180917,1,32,5,29,5,1077,185,4181,721
Ola Cabs,Bihar,20180917,2,67,7,49,5,1077,185,4181,721
Ola Cabs,Bihar,20180917,3,88,24,74,15,1077,185,4181,721
Ola Cabs,Bihar,20180917,4,83,25,76,16,1077,185,4181,721
Ola Cabs,Bihar,20180917,5,52,30,57,19,1077,185,4181,721
Ola Cabs,Bihar,20180917,6,50,13,52,10,1077,185,4181,721
Ola Cabs,Bihar,20180917,7,67,20,69,15,1077,185,4181,721
Ola Cabs,Bihar,20180917,8,62,12,54,8,1077,185,4181,721
Ola Cabs,Bihar,20180917,9,87,19,74,15,1077,185,4181,721
Ola Cabs,Bihar,20180917,10,113,28,87,15,1077,185,4181,721
Ola Cabs,Bihar,20180917,11,144,29,106,22,1077,185,4181,721
Ola Cabs,Bihar,20180917,12,117,24,86,18,1077,185,4181,721
Ola Cabs,Bihar,20180917,13,113,31,89,21,1077,185,4181,721
Ola Cabs,Bihar,20180917,14,93,13,65,11,1077,185,4181,721
Ola Cabs,Bihar,20180917,15,70,10,59,6,1077,185,4181,721
Ola Cabs,Bihar,20180917,16,80,18,63,12,1077,185,4181,721
Ola Cabs,Bihar,20180917,17,60,5,35,4,1077,185,4181,721
Ola Cabs,Bihar,20180917,18,22,8,20,7,1077,185,4181,721
Ola Cabs,Bihar,20180917,19,19,6,17,5,1077,185,4181,721
Ola Cabs,Bihar,20180917,20,12,4,10,3,1077,185,4181,721
Ola Cabs,Bihar,20180917,21,17,2,10,2,1077,185,4181,721
Ola Cabs,Bihar,20180917,22,32,7,20,4,1077,185,4181,721
Ola Cabs,Bihar,20180918,23,27,11,22,6,1146,201,4181,721
Ola Cabs,Bihar,20180918,0,39,8,22,6,1146,201,4181,721
Ola Cabs,Bihar,20180918,1,71,17,50,11,1146,201,4181,721
Ola Cabs,Bihar,20180918,2,95,37,78,21,1146,201,4181,721
Ola Cabs,Bihar,20180918,3,90,26,82,19,1146,201,4181,721
Ola Cabs,Bihar,20180918,4,94,20,83,13,1146,201,4181,721
Ola Cabs,Bihar,20180918,5,82,17,69,12,1146,201,4181,721
Ola Cabs,Bihar,20180918,6,45,12,46,11,1146,201,4181,721
Ola Cabs,Bihar,20180918,7,38,16,41,8,1146,201,4181,721
Ola Cabs,Bihar,20180918,8,70,20,66,11,1146,201,4181,721
